date,price_usd,volume_24h_usd,market_cap_usd
2024-07-04,3291.817760277715,16120973121.83,395655033417.39325
2024-07-05,3057.8331670256134,20262647459.56,367536674415.6176
2024-07-06,2981.9881031270543,31118153432.34,358425570739.55096
2024-07-07,3067.405144042081,11587001182.86,368697105529.1792
2024-07-08,2929.8616406366077,10861353274.01,352171586787.49744
2024-07-09,3018.8033141636024,22626970690.56,362869449001.3566
2024-07-10,3066.137267835018,15270180764.6,368565630599.124
2024-07-11,3101.335253232047,14578181715.72,372803151917.1831
2024-07-12,3099.990015148324,15230948310.79,372647231131.2533
2024-07-13,3134.5506306197944,12751316700.41,376808211723.75867
2024-07-14,3176.741454902452,8566119885.38,381886843595.416
2024-07-15,3246.1316976876083,10517333645.55,390236078923.89624
2024-07-16,3486.1440726540973,18305244471.64,419097090855.9042
2024-07-17,3446.7367187772766,20445844384.32,414365244596.7948
2024-07-18,3388.030067649206,16739890473.66,407313101455.05084
2024-07-19,3425.908809877597,15034951096.84,411872103619.38165
2024-07-20,3505.6558125546208,17705382791.45,421464608502.70917
2024-07-21,3518.9199868748547,10360670696.44,423065798383.9458
2024-07-22,3536.0123055489435,13850181732.94,425141773317.99805
2024-07-23,3440.707953881403,18720738794.1,413690218133.7726
2024-07-24,3483.1920986294513,24473763760.79,418805641262.42926
2024-07-25,3335.4217927578247,16035723506.04,401045335708.3376
2024-07-26,3174.492848808405,25294718608.13,381702816141.7968
2024-07-27,3275.6950887285698,15994789991.31,393878487064.552
2024-07-28,3249.091897325965,15196030118.72,390687433420.7484
2024-07-29,3270.6514537057524,8958103915.39,393287469052.0138
2024-07-30,3318.239038442549,18347287323.53,399010520474.52435
2024-07-31,3278.0418312890124,14045745196.11,394176899881.7526
2024-08-01,3231.9719212015234,16145373031.81,388643007441.5634
2024-08-02,3201.35921436789,20211625064.36,384967651889.65137
2024-08-03,2985.939518408166,21400069829.97,359068651251.1712
2024-08-04,2902.107829197742,17840982152.99,348993488641.7847
2024-08-05,2688.0363037992806,21143496255.01,323256625180.8441
2024-08-06,2418.8705713088357,67655816080.76,290892442721.2598
2024-08-07,2462.6497625628385,26046227469.8,296150815313.7918
2024-08-08,2343.314876667276,24266547856.94,281805014617.2815
2024-08-09,2684.593010973669,23463857987.63,322852467992.16376
2024-08-10,2599.780491053304,17904829993.3,312657935346.4432
2024-08-11,2610.394020358815,9362109677.12,313940060628.8837
2024-08-12,2555.1790616372523,13595011550.12,307305881529.6885
2024-08-13,2723.5756898516656,21662093770.05,327565204827.78644
2024-08-14,2703.207077869587,16388869175.7,325121258584.3638
2024-08-15,2662.8264499038423,15824009472.73,320270860807.04767
2024-08-16,2570.0959179880015,16345389729.81,309123530174.20355
2024-08-17,2593.316618674099,13273656062.29,311922035144.5768
2024-08-18,2614.4815029787255,6676124133.86,314473966503.5177
2024-08-19,2612.851071774286,9211856674.88,314284314499.0961
2024-08-20,2637.4153616852973,11974831745.4,317245493550.125
2024-08-21,2573.3143839156623,13246345010.82,309541262976.20935
2024-08-22,2631.152766948394,12765129578.64,316504970147.2326
2024-08-23,2623.24665682302,10723985294.03,315559973042.12726
2024-08-24,2764.4866999656824,16868701736.04,332557084837.34204
2024-08-25,2769.9178531605485,11764318608.16,333216888126.05054
2024-08-26,2748.2981390439923,9376529565.49,330615750563.2179
2024-08-27,2681.0338911578397,12281874212.18,322526021657.1527
2024-08-28,2458.806004124074,18035992571.03,295791688221.6564
2024-08-29,2528.3737768431142,20352796077.97,304160110325.8263
2024-08-30,2528.342520173133,13947268254.07,304155888134.07184
2024-08-31,2526.0084374433695,15525999007.71,303880962232.64954
2024-09-01,2513.072843090387,6646457176.78,302331119564.152
2024-09-02,2427.2150939662793,11802047203.92,292007974354.5713
2024-09-03,2538.3101576541762,12520677614.88,305379716126.9886
2024-09-04,2424.61615974431,11412557522.4,291706644841.45844
2024-09-05,2450.208134741309,16710394859.83,294791604665.28143
2024-09-06,2367.774700138353,13640643631.78,284879107408.89667
2024-09-07,2224.5687195675137,25834943072.25,267653837991.00476
2024-09-08,2273.669754294043,11124774520.9,273565837167.53372
2024-09-09,2297.2448028385484,10718163333.16,276407776866.0462
2024-09-10,2359.8337369443357,15891412933.2,283944460125.1804
2024-09-11,2388.456600392821,12793258087.84,287393581043.55206
2024-09-12,2340.7500823546316,15352672245.67,281658104082.7297
2024-09-13,2361.735941891499,12160202519.9,284188568681.0818
2024-09-14,2441.1236670033427,13751516944.99,293746839134.69824
2024-09-15,2418.450264364399,8168305078.94,291023899905.0398
2024-09-16,2317.0988937364514,10163576219.36,278833592648.5593
2024-09-17,2295.2956543504824,16814903059.21,276215227226.4771
2024-09-18,2341.9032132743464,15357662642.09,281828242729.2381
2024-09-19,2374.5779733625227,18169984696.91,285764490745.9364
2024-09-20,2465.737070065853,18430226100.3,296739289868.6022
2024-09-21,2561.1956630112877,19111405210,308229481635.03503
2024-09-22,2614.246730857977,10797416158.12,314616715294.245
2024-09-23,2582.180816225093,13181062323.92,310760665967.9834
2024-09-24,2647.9101569994814,19914555507.66,318675256412.80963
2024-09-25,2653.473259230887,16657418790.5,319377900243.847
2024-09-26,2579.415609673889,14120760753.81,310464690082.8966
2024-09-27,2632.473160769376,17328580897.49,316851766924.77795
2024-09-28,2695.374449158063,17024067279.03,324423915003.68365
2024-09-29,2676.9389554761397,10253549813.71,322207979513.64764
2024-09-30,2658.185541465086,11116681338.78,319955773329.9353
2024-10-01,2602.0304877822014,17828556563.62,313201119391.97614
2024-10-02,2448.5494834048504,25482644101.54,294730613086.58765
2024-10-03,2363.9548609502544,20148351755.9,284549365472.23254
2024-10-04,2349.575311984108,18053945422.19,282821939134.7649
2024-10-05,2414.4668397997284,14879503834.71,290637552488.96844
2024-10-06,2414.762832737426,8153230602.5,290677675552.2314
2024-10-07,2439.8230865190744,8459173103.65,293699424107.367
2024-10-08,2422.340775012486,17418136512.88,291599234461.0974
2024-10-09,2439.5758441787475,14066087734.66,293674972028.9277
2024-10-10,2368.0631356537406,14954996424.33,285067411095.4595
2024-10-11,2384.107004864753,15327233238,286999556149.261
2024-10-12,2438.446479375614,13495310848.43,293544246591.013
